States,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MASSACHUSETTS,2.0,0.0,4.0,2.0,4.0,10.0,7.0,12.0,0.0,1.0,3.0,2.0,8.0,5.0,4.0,5.0,1.0,6.0,1.0,8.0,6.0,10.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,3.0,2.0,1.0,2.0,7.0,3.0
MICHIGAN,8.0,0.0,20.0,12.0,13.0,34.0,13.0,7.0,2.0,6.0,5.0,5.0,5.0,14.0,28.0,11.0,19.0,21.0,9.0,3.0,9.0,17.0,35.0,43.0,26.0,42.0,35.0,19.0,22.0,19.0,5.0,23.0,21.0,25.0,12.0,30.0,28.0,30.0,19.0,23.0,34.0,21.0,4.0,11.0,11.0,13.0,19.0,24.0,13.0,6.0,42.0,13.0,14.0,24.0,5.0,10.0,27.0,16.0,3.0,27.0,18.0,6.0,14.0,14.0,16.0,16.0,10.0,16.0,8.0
MINNESOTA,4.0,11.0,10.0,7.0,12.0,9.0,16.0,14.0,14.0,7.0,8.0,15.0,7.0,23.0,38.0,24.0,32.0,40.0,30.0,15.0,24.0,5.0,22.0,14.0,14.0,14.0,31.0,28.0,26.0,17.0,46.0,21.0,20.0,30.0,35.0,20.0,23.0,5.0,12.0,13.0,38.0,43.0,13.0,34.0,32.0,34.0,50.0,65.0,40.0,33.0,79.0,37.0,54.0,61.0,76.0,31.0,18.0,49.0,25.0,126.0,38.0,39.0,18.0,28.0,41.0,43.0,71.0,57.0,56.0
MISSISSIPPI,9.0,7.0,26.0,19.0,7.0,8.0,34.0,23.0,22.0,8.0,21.0,14.0,10.0,5.0,22.0,38.0,22.0,23.0,33.0,28.0,56.0,36.0,46.0,35.0,42.0,50.0,37.0,19.0,6.0,38.0,7.0,22.0,23.0,21.0,21.0,48.0,48.0,67.0,37.0,25.0,13.0,70.0,11.0,33.0,44.0,30.0,35.0,14.0,50.0,30.0,75.0,34.0,60.0,69.0,120.0,36.0,35.0,126.0,54.0,56.0,136.0,57.0,36.0,51.0,58.0,57.0,86.0,64.0,147.0
MISSOURI,6.0,11.0,6.0,40.0,34.0,24.0,48.0,38.0,39.0,39.0,43.0,22.0,16.0,26.0,30.0,40.0,76.0,32.0,26.0,38.0,44.0,14.0,87.0,20.0,21.0,15.0,22.0,10.0,11.0,15.0,37.0,93.0,23.0,43.0,15.0,21.0,6.0,20.0,13.0,33.0,19.0,24.0,23.0,34.0,35.0,29.0,12.0,24.0,47.0,28.0,42.0,30.0,109.0,80.0,40.0,143.0,45.0,108.0,50.0,70.0,93.0,37.0,52.0,51.0,51.0,20.0,91.0,50.0,81.0
MONTANA,0.0,2.0,5.0,4.0,3.0,0.0,1.0,4.0,3.0,3.0,2.0,10.0,3.0,6.0,9.0,2.0,0.0,1.0,2.0,1.0,8.0,4.0,2.0,0.0,10.0,2.0,6.0,13.0,5.0,7.0,3.0,3.0,4.0,5.0,2.0,4.0,1.0,20.0,6.0,6.0,30.0,9.0,5.0,6.0,15.0,8.0,9.0,11.0,22.0,10.0,11.0,12.0,6.0,7.0,11.0,1.0,5.0,2.0,4.0,10.0,9.0,2.0,6.0,8.0,3.0,6.0,1.0,10.0,4.0
NEBRASKA,9.0,11.0,49.0,19.0,34.0,36.0,55.0,55.0,45.0,43.0,12.0,44.0,17.0,46.0,48.0,10.0,41.0,21.0,20.0,14.0,52.0,30.0,19.0,36.0,80.0,26.0,75.0,51.0,22.0,51.0,19.0,37.0,16.0,52.0,55.0,57.0,26.0,23.0,41.0,103.0,67.0,77.0,21.0,54.0,26.0,60.0,31.0,67.0,106.0,65.0,70.0,29.0,82.0,116.0,40.0,23.0,51.0,66.0,41.0,38.0,56.0,47.0,51.0,74.0,29.0,46.0,35.0,33.0,36.0
NEVADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,2.0,4.0,1.0
NEW HAMPSHIRE,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,9.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,0.0,8.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0
NEW JERSEY,1.0,4.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,8.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,9.0,6.0,17.0,8.0,1.0,4.0,2.0,7.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,9.0
